Drug_name, Disease, Clinical_status
QGC-001,Hypertension,BA00-BA04
QLT-091001,amaurosis,9B70
QLT-091001,syndrome,7A80
QLT-091001,pigmentosa,9B70
QR-333,neuropathy,8C0Z
Quisinostat,lymphoma,2A80
R1507,ophthalmopathy,9C82.3
R-209130,Schizophrenia,6A20
R411,Asthma,CA23
RA101495,gravis,8C6Y
RA101495,haemoglobinuria,3A21.0
Rabeximod,arthritis,FA20
Racotumomab,cancer,2C60-2C65
RAD-1901,cancer,2C60-2C65
Radezolid iv,Pneumonia,CA40
Radezolid topical,vulgaris,ED80
Radium Ra 223 dichloride,cancer,2C60-2C65
Radretumab,malignancy,2B33.Y
RAF265,Melanoma,2C30
Ragweed peptide allergy desensitization,Allergy,4A80-4A85
Ralinepag,hypertension,BB01.0
RALURIDINE,infection,1C62
Rambazole,Asthma,CA23
Rambazole,vulgaris,EA90
Ranpirnase,cancer,2C25.0
RAP101,infection,1C62
RAV-12,tumour/cancer,2A00-2F9Z
RAXOFELAST,Ischemia,8B10-8B11
RBP-8000,addiction,6C45.2
RBx-10017609,disease,CB40
RBX2660,infection,1A04
RC-3095,tumour/cancer,2A00-2F9Z
RDEA3170,Hyperuricaemia,5C55.Y
RDEA-684,Gout,FA25
RDEN1delta30,fever,1D2Z
RDP58,Diarrhea,ME05.1
RDX-5791,Constipation,DD91.1
Rebmab-100,cancer,2C74
Recoflavone eye drops,disease,DD72
Recombinant batroxobin,disorder,JB64.1
Recombinant birch pollen allergen,rhinitis,CA08.0
Recombinant botulinum toxin vaccine,infection,1B93
Recombinant Clostridium botulinum A/B vaccine,infection,1A04
Recombinant human nerve growth factor,keratitis,9A74
Recombinant human relaxin,Scleroderma,4A42
Recombinant plague F1V vaccine,infection,1B93
Recombinant RGD-hirudin,Thrombosis,DB61-GB90
Recombinant vaccine,Allergy,4A80-4A85
Refametinib,tumour/cancer,2A00-2F9Z
REL-1015,pain,MG30
Relamorelin,gastroparesis,DA41.00
REM-001,cancer,2C60-2C65
Remetinostat,carcinoma,2C32
Remetinostat,lymphoma,2B01
Remogli ozin-etabonate,diabetes,5A11
Remogliflozin etabonate,diabetes,5A10-5A11
Remogliflozin etabonate,diabetes,5A11
RemoSynch,hypertension,BB01.0
REN-1654,impairment,6D71
Reovirus,cancer,2D42
Research programme: peroxisome proliferator-activated receptor gamma agonist, Omeros,abuse,6C4G.1Z
Resimmune,lymphoma,2B01
Resimmune,Melanoma,2C30
Resiniferatoxin,pain,MG30
Resiniferatoxin,pain,8E43.0
Resiniferatoxin,Osteoarthritis,FA00-FA05
Resiniferatoxin,Pain,MG30-MG3Z
Resminostat,carcinoma,2C12.02
Resten-MP,disease,BA80
Resten-NG,disease,BA80
Resten-NG,tumour/cancer,2A00-2F9Z
RetinoStat,degeneration,9B78.3
Revacept,Arteriosclerosis,BD40
Revamilast,Asthma,CA23
Revascor,infarction,BA41-BA43
Reviroc,lymphoma,2A86
RF1V,infection,1D0Y-1G2Z
RFT-5.dgA,infection,1C62
RG-101,infection,1E51.1
RG1577,disease,8A20
RG-1662,disease,8A20
RG-1662,impairment,6D71
RG-4929,disorder,5C50-5D2Z
RG-7090,syndrome,LD55
RG7155,tumour/cancer,2A00-2F9Z
RG7155,tumour/cancer,2A00-2F9Z
RG7221,cancer,2B91.Z
RG7221,cancer,2B91
RG-7234,diabetes,5A11
RG7314,disorder,6A02
RG7321,cancer,2C60-2C65
RG7388,leukaemia,2A60
RG7388,malignancy,2B33.Y
RG7388,vera,2A20.4
RG7388,tumour/cancer,2A00-2F9Z
RG7426,diabetes,5A10
RG7440,tumour/cancer,2A00-2F9Z
RG7596,malignancy,2B33.Y
RG-7599,cancer,2C73
RG7625,disease,4A40-4A45
RG7625,disease,DA95
RG7625,syndrome,4A43.20
RG7667,infection,1D82
RG7686,carcinoma,2C12.02
RG7716,neovascularization,9B76
RG7745,disease,1A00-CA43.1
RG7845,disease,4A40-4A45
RG7845,urticaria,EB00.1
RG7888,tumour/cancer,2A00-2F9Z
RG7888,tumour/cancer,2A00-2F9Z
RG7888,carcinoma,2C92.0
RG7916,atrophy,8B61
RG7935,disease,8A00.0
RG7935,disease,8A00.0
RGH-896,neuropathy,8C0Z
RGI-2001,disease,4B24
RGI-2001,disease,4B24
RGN-259 eye drops,infection,GA02.0
RhGDF-5,disease,DA0C
Rhopressa,hypertension,9C61
RI-001,infection,1C80
R-IFN-1a,infection,1E51.1
Rilapladib,Arteriosclerosis,BD40
Rilapladib,disease,BA00-BE2Z
Rilopirox,infection,1F29-1F2F
Rimacalib,arthritis,FA20
RK-023,Alopecia,ED70
RM-131,Cachexia,MG20
RM-131,gastroparesis,DA41.00
RNF43-721,cancer,2B91.Z
RNS-60,sclerosis,8B60.0
RNS-60,Asthma,CA23
RNS-60,sclerosis,8A40
Ro 31-7453,tumour/cancer,2A00-2F9Z
Ro-24-7429,infection,1C62
RO-4905417,syndrome,BA41
RO-4929097,cancer,2C60-2C65
RO-4995819,disorder,6A70.3
RO-4998452,diabetes,5A11
RO-5323441,tumour/cancer,2A00-2F9Z
RO5520985,cancer,2B91.Z
RO6867461,edema,9B71.02
Rocilinostat,myeloma,2A83
Rontalizumab,erythematosus,4A40.0
Rostafuroxin,Hypertension,BA00-BA04
ROTIGAPTIDE,arrhythmias,BC9Z
ROXINDOLE,disorder,6A20-6A25
Rozanolixizumab,gravis,8C6Y
RP-49356,Hypertension,BA00-BA04
RP-5000,Schizophrenia,6A20
RP5063,disease,8A20
RP5063,disorder,6A05.Z
RP5063,disorder,6A60
RP5063,disorder,6A70.3
RP5063,disease,8A00.0
RP5063,Schizophrenia,6A20
RPA-102,Anthrax,1B97
RP-G28,intolerance,5C61.6
R-phenserine,disease,8A20
R-phenserine,disease,8A20
R-phenserine,impairment,6D71
R-phenserine,Dementia,6D80-6D86
RPL-554,rhinitis,CA08.0
RPSGL-Ig,function,4B24.0
RQ-00000005,Frailty,MG2A
RQ-00000007 (oral),Pain,MG30-MG3Z
R-roscovitine,carcinoma,2B6B
R-roscovitine,cancer,2C25.Y
R-roscovitine,tumour/cancer,2A00-2F9Z
RRV-TV rotavirus vaccine,diabetes,5A11
RRx-001,glioma,2A00.0
RRx-001,Lymphoma,2A80-2A86
RRx-001,cancer,2B72.1
RRx-001,cancer,2C25.Y
RRx-001,cancer,2C73
RRx-001,glioblastoma,2A00.00
RRx-001,cancer,2C25.Y
RRx-001,tumour/cancer,2A00-2F9Z
R-salbutamol sulphate,infection,1F28-1G0Z
RSLV-132,syndrome,4A43.20
RSLV-132,erythematosus,4A40.0
RSV recombinant vaccine,infection,1C80
RSV-604,infection,1A24-1D9Z
RSV-F,infection,1C80
RT-001,vulgaris,ED80
RT-001,ataxia,8A03.10
RT-400,failure,BD1Z
Rupintrivir,infection,1A24-1D9Z
Ruthenium-based complexes,tumour/cancer,2A00-2F9Z
RUTI,infection,1B10-1B21
RV001,edema,9B71.02
RV001,ophthalmopathy,9C82.3
RV-568,Asthma,CA23
RVT-505,dermatitis,EA80
RVT-505,vulgaris,EA90
RX-0201,cancer,2C10
RX-0201,carcinoma,2C90
RX-0201,tumour/cancer,2A00-2F9Z
RX-10045,disease,1F00.1Z
RX-3117,cancer,2C94
RX-3117,cancer,2C10
RX-3117,tumour/cancer,2A00-2F9Z
RX-5902,tumour/cancer,2A00-2F9Z
RX-5902,cancer,2C60-2C65
RXDX 101,cancer,2B91.Z
RXDX 101,Neuroblastoma,2D11.2
RXDX 101,cancer,2C25.Y
RXDX 101,tumour/cancer,2A00-2F9Z
RXDX 101,tumour/cancer,2A00-2F9Z
RXI-109,Fibrosis,GA14-GC01
RXI-109,scars,EE60
RXI-SCP,wart,1E80
S. pneumococcal next-generation vaccine,infection,1B53
S. pneumoniae paediatric next generation,infection,1B53
S-0509,colitis,DD71
S-1360,infection,1C62
S-15535,disorder,6B00-6B0Z
S-16924,disorder,6B00-6B0Z
S-2150,pectoris,BA40
S-297995,dependence,6C43.2Z
S-364735,infection,1C62
S-38093,disease,8A20
S-488410,cancer,2C25.0
S-555739,Allergy,4A80-4A85
S-649266,infection,1A00-1C4Z
S-707106,diabetes,5A11
S-777469,dermatitis,EA80
S-888711,disease,DB90-BD99
S-8921,Hyperlipidaemia,5C80
Sabarubicin,tumour/cancer,2A00-2F9Z
Safotibant,edema,9B71.02
SAGE-217,tremors,8A04.1
SAGE-217,disorder,6A70.3
SAGE-217,disease,8A00.0
SAGE-217b,disorder,6A70.3
Sagopilone,cancer,2C60-2C65
Sagopilone,cancer,2C73
Sagopilone,cancer,2C82.0
Salirasib,cancer,2C25.0
Salirasib,cancer,2C25.Y
Salirasib,cancer,2C10
Salvicine,tumour/cancer,2A00-2F9Z
SAM-531,disease,8A20
Samarium SM-153 lexidronam injection,cancer,2C82.0
Sampatrilat,Hypotension,BA20-BA21
SAN-300,arthritis,FA20
Santalum,dermatitis,EA80
Santalum,infection,1A9Y
Santalum,vulgaris,EA90
Santalum album cream,vulgaris,EA90
SAR-100842,Fibrosis,GA14-GC01
SAR-100842,sclerosis,4A42
SAR-110894,disease,8A20
SAR-113945,Osteoarthritis,FA00-FA05
SAR-125844,tumour/cancer,2A00-2F9Z
SAR-156597,fibrosis,CB03.4
SAR-156597,fibrosis,CB03.4
SAR-156597,sclerosis,4A42
SAR245409,tumour/cancer,2A00-2F9Z
SAR245409,tumour/cancer,2A00-2F9Z
SAR245409,tumour/cancer,2A00-2F9Z
SAR256212 companion diagnostic,tumour/cancer,2A00-2F9Z
SAR-260093,diabetes,5A11
SAR279356,infection,1H0Z
SAR292833,Pain,MG30-MG3Z
SAR-339658,disease,DD72
SAR-3419,lymphoma,2B33.5
SAR391786,atrophy,FB32.Y
SAR-407899,nephropathy,GB61.Z
SAR-407899,angina,BA86
SAR-566658,tumour/cancer,2A00-2F9Z
SAR-566658,cancer,2C60-2C65
SAR97276,Malaria,1F40-1F45
Saratin,Inflammation,1A00-CA43.1
Sarcoma cancer vaccine,Sarcoma,2A60-2C35
Sarcoma mab vaccine,Sarcoma,2A60-2C35
SARIPIDEM,disorder,6B00-6B0Z
Saroglitazar,disease,BA00-BE2Z
Saruplase,Thrombosis,DB61-GB90
SB-030,disease,BD4Z
SB206,wart,1A95
SB206,infection,1E76
SB-207266A,syndrome,DD91.0
SB208,Onychomycosis,EE12.1
SB208,pedis,1F28.2
SB-265610,Asthma,CA23
SB-265610,disease,CA22
SB-509,disease,8A00-8E7Z
SB-623,ischaemia,8B1Z
SB-623,stroke,8B11.5Z
SB-623,Stroke,8B20
SB-623,injury,NA07.Z
SB-649868,Insomnia,7A00-7A0Z
SB-656933,disease,CA22
SB-656933,fibrosis,CA25
SB-728-T,infection,1C62
SB-728-T,infection,1C62
SB-743921,tumour/cancer,2A00-2F9Z
SB773812,Schizophrenia,6A20
SBC-014,Neutropenia,4B00.0
SBI-087,sclerosis,8A40
SBI-087,arthritis,FA20
SC401,Hyperlipoproteinemia,5C80
SC-49483,syndrome,1C62.3
SC-599,infection,1A02
SC-75416,Pain,MG30-MG3Z
SCH 420814,disease,8A00.0
SCH-527123,disease,CA22
SCH-527123,disease,DD72
SCH-527123,tumour/cancer,2A00-2F9Z
SCH-527123,colitis,DD71
SCH-900271,stroke,8B11.5Z
SCH-900776,tumour/cancer,2A00-2F9Z
SCH-900978,Cough,MD12
SCY-078,infection,1F29-1F2F
SCY-635,infection,1E51.1
SDF-1,failure,BD10-BD13
SDF-1,disease,BD4Z
SDZ-281-240,Pruritus,EC90
SDZ-MAR-327,disorder,6A20-6A25
SDZ-MAR-327,Schizophrenia,6A20
SDZ-SCV-106,cancer,2B91.Z
SELA-212,Gout,FA25
SelG1,crisis,BE2Y
SelG1,crisis,BE2Y
SelG2,disorder,3A51
Selinexor oral,glioblastoma,2A00.00
SELODENOSON,arrhythmias,BC9Z
Selurampanel,Epilepsy,8A60-8A68
Semapimod,diabetes,5A10
SEN-196,disease,8A01.10
Senktide,Epilepsy,8A60-8A68
Senktide,stroke,8B11.5Z
SentoClone,Melanoma,2C30
SEP-363856,disorder,6A70.3
SEP-363856,disease,8A00.0
SEP-363856,Schizophrenia,6A20
SER-100,failure,BD10-BD13
SER-109,infection,1A04
SERCA 2a gene therapy,failure,BD10-BD13
Seribantumab,cancer,2B91.Z
Seribantumab,cancer,2D42
Seribantumab,cancer,2C25.Y
Setmelanotide,syndrome,LD90.3
Setrobuvir,infection,1E51.1
Seviteronel,cancer,2C60-2C65
Seviteronel,cancer,2C82.0
SF1126,cancer,2D42
SF1126,carcinoma,2C12.02
SF1126,tumour/cancer,2A00-2F9Z
SFV IL-12 gene therapy,cancer,2C60-2C65
SGN-30,tumour/cancer,2A00-2F9Z
SGS742,Schizophrenia,6A20
SGX203,disease,DD70
SH-529,disease,BD4Z
Shan 6,Diphtheria,1C17
Shan 6,influenza,1G40
Shan 6,infection,1E51.0
Shan 6,Pertussis,1C12.Z
Shan 6,Poliomyelitis,1C81
Shan 6,infection,1C8Y
Shan 6,Tetanus,1C13
SHAPE,lymphoma,2B01
SHAPE,Lymphoma,2A80-2A86
Shigella conjugated and outer membrane vaccine,Diarrhea,ME05.1
Shigella vaccine,infection,1A02
Shigella vaccine,infection,1A02
Short ragweed pollen extracts,Allergy,4A80-4A85
SHP607,Retinopathy,9B71
SHP610,syndrome,5C56.3Y
SHP615,disorder,8A6Z
SHP620,infection,1D82
SHP621,esophagitis,DA24.1
SHP647,disease,DD70
SHP647,colitis,DD71
SI-613,osteoarthritis,FA01
SiG12D-LODER,cancer,2C10
Simenepag isopropyl,hypertension,9C61.01
Simtuzumab,cancer,2B91.Z
Simtuzumab,cholangitis,DB96.2
Siplizumab,Lymphoma,2A80-2A86
Siplizumab,vulgaris,EA90
SIRS-T,vulgaris,ED80
Sitamaquine,disease,1A00-CA43.1
SITOSTANOL ASCORBYL PHOSPHATE,Hyperlipidaemia,5C80
SKF-110679,deficiency,5A61.3
SKL-NP,Pain,MG30-MG3Z
SK-MS10,Gastritis,DA42
SLC-022,pain,8E43.0
SLV 306,failure,BD1Z
SLV320,failure,BD10-BD13
SLV-334,injury,NA07.Z
SLV-337,disease,BA00-BE2Z
SLx-4090,complication,5A2Y
SLx-4090,Dyslipidemia,5C80-5C81
SLx-4090,Hyperlipidaemia,5C80
SM04554,Alopecia,ED70
SM-04690,Osteoarthritis,FA00-FA05
SM-88,cancer,2C10
SM-88,cancer,2C82.0
SMP-986,bladder,GC50.0
SMT-19969,infection,1A04
SMT-C1100,dystrophy,8C70
SMT-C1100,dystrophy,8C70
SNA-120,psoriasis,EA90.0
SNA-120,Pruritus,EC90
SNDX-275,cancer,2C60-2C65
SNDX-275,cancer,2B91.Z
SNDX-275,Melanoma,2C30
SNDX-275,cancer,2C25.Y
SNDX-275,cancer,2C73
SNK-882,impairment,6D71
SNS-595,leukaemia,2A60
SNS-595,cancer,2C73
Soblidotin,tumour/cancer,2A00-2F9Z
Sodium butyrate,leukaemia,2A60
Sodium butyrate,ulcers,3A51
Sodium stibogluconate,tumour/cancer,2A00-2F9Z
Sofinicline,disorder,6A05.Z
Sofpironium bromide,Hyperhidrosis,EE00
Solubilized type 1 native bovine collagen,Scleroderma,4A42
Soluble FePPi,Anemia,3A00-3A9Z
SoluMatrix naproxen,Osteoarthritis,FA00-FA05
SoluMatrix naproxen,Pain,MG30-MG3Z
gallium (68Ga) edotreotide,cancer,2B72.1
Somatoprim,Acromegaly,5A60.0
Somatropin intranasal rhGH,deficiency,5A61.3
SonoLysis Prolyse,ischemia,8B11
Sotatercept,syndrome,2A37
Sotirimod,Keratosis,ED56
Sotrastaurin acetate,transplantation,NE84
SP160412,Sunburn,EJ40
SP-333,colitis,DD71
SparVax recombinant protective antigen anthrax vaccine,Anthrax,1B97
SparVax recombinant protective antigen anthrax vaccine,Depression,6A70-6A7Z
SPD-556,failure,BD10-BD13
SPD-557,gastroparesis,DA41.00
SPD602,Anemia,3A00-3A9Z
Spheramine,disease,8A00.0
SPI-026,hypertension,BB01.0
SPI-1620,tumour/cancer,2A00-2F9Z
SPI-205,disease,8A00.0
Spiroglumide,pain,8E43.0
Spiroglumide,disease,DA43-DA4Y
SPN-812,disorder,6A05.Z
SPP-600,Hypertension,BA00-BA04
S-PRAnt,fibroids,2E86.0
SQ-109,infection,1A00-1C4Z
SQ-109,Tuberculosis,1B10-1B14
SR 16234,cancer,2C60-2C65
SR-147778,Obesity,5B81
SR-2640,Asthma,CA23
SR-31747,arthritis,FA20
SR-43845,hypertension,9C61
SR-46559A,impairment,6D71
SRD-174,Pruritus,EC90
SRD-441,dermatitis,EA80
SRM003,disease,BD4Z
SRP-4053,dystrophy,8C70
SR-T100 gel,keratosis,EK90.0
SRX-246,disorder,6B00-6B0Z
SRX-246,disorder,6B00-6B0Z
SRX-246,disorder,6B40
SSR125543,disorder,6B00-6B0Z
SSR149415,disorder,6B00-6B0Z
SSR149415,disorder,6A70.3
SSR-180575,arthritis,FA20
SSR240600,incontinence,MF50.2
SSR-240612,arthritis,FA20
SSR411298,disorder,6A70.3
SSTarbaclofen,disorder,6A02
SSTarbaclofen,syndrome,LD55
ST-101,disease,8A20
ST-101,disorder,6B00-6B0Z
STA-5326,disease,DD70
STA-5326,arthritis,FA20
Stage IV melanoma vaccine,Melanoma,2C30
Stannsoporfin,hyperbilirubinemia,KA87
Stem cell therapy,injury,ND51.2
S-tenatoprazole,ulcer,DA61
STI-003,disease,4A40-4A45
STP-206,Enterocolitis,1A40.Z
STP-206,Enterocolitis,1A40.Z
STP-206,newborn,KB88
Strada,disorder,6A70.3
Streptococcal B conjugated vaccine,infection,1G40
Strontium malonate,disease,FB8Y
STX-100,fibrosis,CB03.4
STX-107,disorder,6A02
STX-140,Osteoporosis,FB83.0
Sulopenem etzadroxil,infection,1A00-1C4Z
SUN N4057,disease,BA80
SUN13834,infection,1B74-1G40
SUN-13837,ischaemia,8B1Z
Superoxide dismutase,infarction,BA41-BA43
Sutentsunitinib,tumour,2B5B
Sutezolid,Tuberculosis,1B10-1B14
SUVN-502,disease,8A20
SUVN-502,disorder,6B60
SYL-040012,hypertension,9C61.01
SYL-045001,inflammation,9C61.24
Sylvantsiltuximab,myeloma,2A83
SYM-004,cancer,2B91.Z
SYM-004,cancer,2D42
SYM-004,cancer,2B91
SYM-004,cancer,2C25.Y
SYM-004,glioblastoma,2A00.00
SYN-120,disease,8A20
SYN-120,disease,8A00.0
Synthetic surfactants,syndrome,CB00
T-1210,conjunctivitis,9A60.02
T2 18C3,diabetes,5A11
T-2007,Epilepsy,8A60-8A68
T2c-001,failure,BD10
T2c-002,disease,BD4Z
T-607,tumour/cancer,2A00-2F9Z
T-817MA,disease,8A20
T-82,impairment,6D71
TA-2005,disease,CA22
TA-270,Asthma,CA23
TA-7906,dermatitis,EA80
TA-8995,Hyperlipidaemia,5C80
Tabimorelin,deficiency,5A61.3
TA-CD,addiction,6C45.2
TA-CD cocaine abuse vaccine,addiction,6C45.2
TA-CD vaccine,addiction,6C45.2
TA-CIN,cancer,2C77.0
Tafinlar + Mekinist,Glioma,2A00.0
TAK-063,Schizophrenia,6A20
TAK-128,neuropathy,8C0Z
TAK-214,infection,1A23
TAK-272,diabetes,5A11
TAK-379,diabetes,5A11
TAK-448,cancer,2C82.0
TAK-653,Depression,6A70-6A7Z
TAK-659,lymphoma,2A81
TAK-659,malignancy,2B33.Y
TAK-715,arthritis,FA20
TAK-783,arthritis,FA20
TAK-850,Lymphoma,2A80-2A86
TAK-935,syndrome,8A61.11
TAK-935,excitotoxity,5C73
TAK-935,syndrome,8A62.1
TAK-935,sclerosis,LD2D.2
TAL-0500018,disease,BD4Z
TAL-0500018,disorder,BD4Z
TAL-0500018,Stroke,8B20
Talacotuzumab,leukaemia,2A60
Talampanel,disease,8A00.0
Talnetant,syndrome,DD91.0
Talnetant,disorder,6A21
Talnetant,Schizophrenia,6A20
Tanespimycin,cancer,2C60-2C65
Tanespimycin,myeloma,2A83
Taprenepag,hypertension,9C61
Tarafenacin,bladder,GC50.0
Tarextumab,cancer,2C10
Tarextumab,cancer,2C25.Y
TAS-106,cancer,2D42
TAS-109,leukaemia,2A85
TAS-109,leukaemia,2A60
TAS-109,tumour/cancer,2A00-2F9Z
TAS-114,cancer,2C25.Y
TAS-114,tumour/cancer,2A00-2F9Z
Tau-binding PET tracer,disease,8A20
Tavokinogene telsaplasmid,Melanoma,2C30
Tavokinogene telsaplasmid,cancer,2C60-2C65
TB-402,fibrillation,BC81.3
TBC-3711,Hypotension,BA20-BA21
TBI-1501,leukaemia,2A85
TC-5214,hyperhidrosis,EE00.00
TC-6499-12,syndrome,DD91.0
TC-6987,Asthma,CA23
Tc-99m ethylenedicysteine glucosamine,cancer,2C25.Y
Tcelna,sclerosis,8A40
TCN-032,infection,1E30-1E32
TD-101,infection,1C80
TD-101,Pachyonychia,EE10.3
TD-1211,constipation,DB32.1
TD-1414,Impetigo,1B72
TD-5108,Gastroparesis,DA41.00
TD-9855,hypotension,BA21
TD-9855,Pain,MG30-MG3Z
Tebipenem,dependence,6C4A.2
Tebipenem,Obesity,5B81
Tefibazumab,infection,1A00-1C4Z
Tegobuvir,infection,1E51.1
Telapristone,Endometriosis,GA10
Telcagepant,headache,8A81.0
Telcagepant,Migraine,8A80
Telomelysin,Melanoma,2C30
Telomelysin,carcinoma,2C34
TEM,neuralgia,1E91.5
Tempol,injury,ND51.2
Tepoxalin,Asthma,CA23
Terameprocol,tumour/cancer,2A00-2F9Z
Terguride,hypertension,BB01.0
Tesofensine,Pain,MG30-MG3Z
Testogen TDS,Hypogonadism,5A61.0
Tetomilast,disease,CA22
Tetrahydrouridine,tumour/cancer,2A00-2F9Z
TetraMen-T,infection,1C1C.0
TETRAPLATIN TETRANITRATE,tumour/cancer,2A00-2F9Z
TF0023,attack,BA41
TF0023,stroke,8B11.5Z
TF0023,diabetes,5A11
TG-0054,degeneration,9B78.3
TG100801,degeneration,9B78.3
TG-2349,infection,1E51.1
TG-4040,infection,1E51.1
TgAAC-09,infection,1C62
TGBA01AD,disorder,6A60-6E23
TgDCC-E1A,cancer,2C60-2C65
TGFK08AA-ER,disorder,6B00
TGFK09SD-ER,dysfunction,HA00
TGOF02N,Schizophrenia,6A20
TGR-1202,leukaemia,2A82.0
TGR-1202,malignancy,2B33.Y
TGR-1202,lymphoma,2B33.5
TGWOOAA,disorder,6B00
TGWOOAA,phobia,6B04
TH-302,Melanoma,2C30
TH-302,cancer,2C82.0
TH-302,sarcoma,2B57
TH-302,carcinoma,2B60-2D01
TH-9402,disease,4B24
THR-18,Asthma,CA23
THRX-198321,disease,CA22
Thymoctonan,disease,4A01-4B41
tideglusib,Osteosarcoma,2B51
Tigatuzumab,cancer,2C60-2C65
Tigatuzumab,cancer,2B91.Z
Tigatuzumab,cancer,2C12
Tigatuzumab,cancer,2C73
Tigatuzumab,cancer,2C10
TIM ETEC vaccine,Diarrhea,ME05.1
Tipapkinogene sovacivec,neoplasia,2E66.1
Tipelukast,Asthma,CA23
Tipelukast,fibrosis,CB03.4
Tiprelestat,infarction,BA41-BA43
Tissue Repair Cells (TRCs),injury,ND51.2
TJ-9,Asthma,CA23
TKA-731,Pain,MG30-MG3Z
TL-118,cancer,2C10
TLC-388,tumour/cancer,2A00-2F9Z
TLN-4601,tumour/cancer,2A00-2F9Z
TM30338,Obesity,5B81
TM30339,Schizophrenia,6A20
TM-601,tumour/cancer,2A00-2F9Z
TMC-310911,infection,1C62
TMI-358,Onychomycosis,EE12.1
TN-871,impairment,6D71
TNF alpha kinoid,diabetes,5A10
TOFIMILAST,disease,CA22
TOK-001,cancer,2C82.0
TOK-8801,Arthritis,FA20
TOL-3021,leukaemia,2A60-2B33
Tolamba,rhinitis,CA08.0
Tonabersat,Epilepsy,8A60-8A68
Topical ruxolitinib,Asthma,CA23
Topiroxostat,Gout,FA25
Tosagestin,Contraception,QA21
Tovaxin,sclerosis,8A40
TPI 287,disease,8A20
TPI 287,metastases,2D50
TPI 287,Glioma,2A00.0
TPI 287,palsy,8A00.10
TPI 287,glioblastoma,2A00.00
TPI ASM8,Asthma,CA23
TPI-1020,disease,CA22
TPI-926,disorder,6B60
TPIV200,cancer,2C60-2C65
TPIV200,cancer,2C73
TPIV200,cancer,2C60-2C65
TPM-1/Morphine,Pain,MG30-MG3Z
TPX-100,Osteoarthritis,FA00-FA05
Tradjeta,diabetes,5A11
Trametinib + 2141795,tumour/cancer,2A00-2F9Z
Trans-sodium crocetinate,metastases,2D50
Trans-sodium crocetinate,multiforme,2A00.0
Trans-sodium crocetinate,glioblastoma,2A00.00
Trastuzumab deruxtecan,cancer,2B91.Z
Trastuzumab emtansine,cancer,2C60-2C65
Trastuzumab emtansine,cancer,2C60-2C65
Travoprost punctal plug,hypertension,9C61
TRAXOPRODIL MESYLATE,disorder,6B60
TRC102,Mesothelioma,2C51.2
TRC102,glioblastoma,2A00.00
TRC102,tumour/cancer,2A00-2F9Z
TRC105,Angiosarcoma,2B56
TRC105,cancer,2C60-2C65
TRC105,cancer,2C74
TRC105,neoplasia,2F33-2F76
TRC105,Hemangiosarcoma,2B56.1
TRC105,carcinoma,2C12.02
TRC105,cancer,2C25.0
TRC105,degeneration,9B78.3
TRC105,cancer,2C73
TRC105,cancer,2C51.Z
TRC105,glioblastoma,2A00.00
TRC105,carcinoma,2C90
TRC105,sarcoma,2B57
TRC-4186,complication,5A2Y
Trehalose,dystrophy,8C70
Trehalose,dystrophy,9C82.1
Trehalose,3,8A03
TRF-1101,anaemia,3A51
Triapine,injury,ND56.4
Trichuris suis ova,rhinitis,CA08.0
TRIDMAC,disorder,6A60-6E23
Trilaciclib,cancer,2C25.Y
Trilaciclib,cancer,2C60-2C65
Trimesta,sclerosis,8A40
Triplex,infection,1D82
Trivalent seasonal influenza vaccine,infection,1E30-1E32
TRK-170,disease,DD72
TRK-530,Osteoporosis,FB83.0
TRN-157,disease,CA22
TRO-19622,neuropathy,8C0Z
Troplasminogen alfa,infarction,BA41-BA43
TROXACITABINE,tumour/cancer,2A00-2F9Z
TRU-015,Lymphoma,2A80-2A86
TRV027,failure,BD10-BD13
TS-022,dermatitis,EA80
TS-091,Hypersomnia,7A21
TS-121,Depression,6A70-6A7Z
TS-121,disorder,6A70.3
TT-100,cancer,2C25.Y
TT-173,disorder,GA20-GA21
TT-223,diabetes,5A10
TT-401,diabetes,5A11
TTP-054,diabetes,5A11
TTP273,diabetes,5A11
TTP435,Obesity,5B81
TTP-448,disease,8A20
TTP889,disorder,JB64.1
TTP889,infection,1C80
Tuberculosis recombinant subunit vaccine,Tuberculosis,1B10-1B14
Tuberculosis recombinant subunit vaccine,Tuberculosis,1B10-1B14
Tuberculosis recombinant vaccine,Tuberculosis,1B10-1B14
Tuberculosis vaccine,infection,1B10-1B21
Tuberculosis vaccine,Tuberculosis,1B10-1B14
TUCARESOL,disease,4A01-4B41
Tucatinib,cancer,2C60-2C65
Tumor infiltrating lymphocyte,Melanoma,2C30
Turosteride,disease,GA91
TV1001,angiopathy,BD53.Y
TV1001sr,neuropathy,8C0Z
TV1001sr,disease,BD4Z
TV-1102,sclerosis,8A40
TV-1380,addiction,6C45.2
TV1-Kidney-1,carcinoma,2C90
TV-45070,Osteoarthritis,FA00-FA05
TV-45070,extremities,EG00
TVB-2640,tumour,2A00-2F9Z
TVB-2640,Astrocytoma,2A00.0Y
TVB-2640,cancer,2B90.Z
TV-Brain-1,glioblastoma,2A00.00
TVGV-1 vaccine,infection,1A9Y
TVI-Brain-1,Glioma,2A00.0
TVI-Brain-1,infection,CA00-CA40
TVI-Brain-1 cancer vaccine,Astrocytoma,2A00.0Y
TVI-Brain-1 cancer vaccine,cancer,2A00
TVI-Brain-1 cancer vaccine,Glioma,2A00.0
