gene_name,drug_claim_name
RAF1,ISIS 5132
TAOK3,249565794
IL4R,PRX-321
AURKC,249565620
VDR,DB05295
CDC25B,NSC-125252
GABRE,GABOXADOL
LHCGR,NSC-95397
CHRM1,SMT-D002
BCL2,BCL201
ATAD5,DAPH
NPC1,CID 739615
CTLA4,AGEN1884
RXFP4,178101189
KDM4E,CEPHALOSPORIN C ZINC SALT
AVPR2,135651848
RAB9A,SIB-1893
CCNA2,DB06844
SMN1,LASSBIO-294
PYGM,PSN357
AURKA,CHEMBL2140408
EHMT2,BISMUTH SUBSALICYLATE
KRAS,LY3009120
GLS,ASTERRIC ACID
MLST8,AZD8055
SLCO4C1,178101436
BIRC5,PD-98059
BRD2,PMID26924192-Compound-102
DPP4,DB07830
ITGAL,DB01098
TP73,GM-CSF
VDR,METHOTREXATE
CACNA1G,CHEMBL1200382
RAB9A,DB04315
EGFR,VANDETANIB
HRH1,Loratadine
,COUMATE
CYP2C19,DNDI1417413
S100A2,ANTISENSE OLIGONUCLEOTIDES
MTOR,310264699
EHMT2,CISPLATIN
CALCRL,LBR-101
CSNK2A2,US8940736
MAPK9,DB07020
KDM4E,EHNA
CBX1,MIFEPRISTONE
HYAL2,HORMONES
FGFR3,CHEMBL3545285
GABRB1,FLUDIAZEPAM
TYK2,Pyrazolopyridine derivative 3
FLT3,QUIZARTINIB
RRM1,CHEMBL1200983
FGFR1,CEDIRANIB
HDAC2,PHENYLBUTANOIC ACID
MAPK3,PD-153035
CTNNB1,Triciribine
TLR7,178103773
ADRA1A,norepinephrine
PLD2,VU0364739
CHRM5,OLANZAPINE
ABL1,Bosutinib
KRT18,ANTIVIRAL
IL1B,AC-201
HTR1A,178103999
TRPV1,PMID25666693-Compound-2
DRD3,ROPINIROL
BRAF,Cediranib
GRIN3A,NERAMEXANE
CD4,ANTIVIRAL
HRH1,LEVOCABASTINE
KCNMA1,178101035
,Asenapine
CCR1,TERPYRIDINE
YES1,ENTINOSTAT
SELPLG,AbGn-168
AKT1,Sorafenib
SRC,DB01893
KCNK3,135650346
ERAP1,252166866
NPPB,DB01136
PGR,DB00294
PPARG,AMG-131
CD80,RG-2077
INPP5A,252827501
C4BPA,DB09130
CACNA1C,CHEMBL2103836
NR4A1,L-DOPA
GFER,PHENELZINE SULFATE
SSTR3,135652641
LTK,252827366
A2M,DB14533
,Cefoxitin
PDCD1,LZM009
KDR,IMC-1121B
AR,ODM-201
HTR2A,135650544
PDE4A,Revamilast
LRRK2,Pyridopyrimidinone derivative 1
POLI,ASTERRIC ACID
PPARG,135650251
GRM2,135649803
SLC31A1,cisplatin
DRD2,CHEMBL2105760
KCNN2,135651994
NR1H4,2'-EPI-TUBERATOLIDE B
PDGFRA,Olaratumab
HTR2A,135650487
CPM,252166875
BMPR1A,DB11639
SLC18A2,DB08839
,Mazindol
CBX1,GW7647
MAPT,SJ000294102
ACHE,DB01122
GMNN,TCMDC-125254
MAPK14,CHEMBL190333
TUBB2A,VINORELBINE
KCNJ10,Chlorpropamide
HTR1D,135651128
MAPK1,374883860
FLT3,363894214
NR3C1,TESTOSTERONE
ALK,GW441756X
HSD17B1,DB00157
BACE1,DB06930
DRD1,ETILEVODOPA
CHRM1,AZD-6088
ADRB1,DB03566
NOS3,ACCLAIM
JAK1,Pyrrole derivative 7
ADRA2C,135652727
CYP2D6,DEXEFAROXAN
SLC16A1,BUTYRATE
FGFR2,LENVATINIB
SPSB2,PHENYLTHIAZOL-2-AMINE
HGF,RILOTUMUMAB
,Oxiconazole
OPRD1,KP201
,BAY1436032
PTGES,Alpha-substituted pirinixic acid and pirinixic acid ester derivative 1
GSTP1,DB02633
RELA,2-PHENYLACETYLAMINOBENZOTHIAZOLE
TP53,Ifosfamide
PIK3CA,Tamoxifen
STAT1,Peptidomimetic analog 5
HTR2A,DB13940
ROCK1,Rhopressa
HPGD,GUTHION
AR,LOFEPRAMINE HYDROCHLORIDE
MED12L,cytarabine
PLCG1,Pyrazolones
CA5A,DB01194
AXL,XL999
MAOB,3-Hydroxy-2-butanone
MAP2K1,AZD6244
TUBB2A,10
SCN5A,BEPRIDIL
SMO,LDE 225
DAO,5-CARBOXYFURO[3
EIF4A1,DB09130
C5,DB01257
EPHA8,GENISTEIN
,RG7420
GNRHR,GONADORELIN
RORC,TAK-828
HDAC10,BELINOSTAT
CYP2C8,simeprevir
,TRK-170
GLRA3,DB01956
CNR2,CHEMBL225411
MC4R,risperidone
MAPT,ALTENUSIN
KRAS,G-573
CSF2RA,GM-CSF cancer vaccine
IL12A,AD-RTS-IL-12
PIK3CA,Trametinib
FGFR3,Erdafitinib
IFNAR2,INTERFERON BETA-1B
CPOX,givosiran
GLRA1,DB03929
CHRNA2,PIPECURONIUM
TUBB1,ANG1005
VDR,3
ESR1,ETHINYL ESTRADIOL
HMGCR,135650928
RGS12,LAVENDUSTIN C
CYP1A2,KETOCONAZOLE
EDNRB,AMBRISENTAN
EHMT2,0-HEXYL-1
PTGS2,Tiaprofenic acid
CHRM1,135649797
FTH1,DB00893
IL6,RECOMBINANT HUMAN IL-4
,DB00566
MAP2K2,SELUMETINIB
TOP2B,Berubicin
BRAF,GDC-0973
SAP130,SPLICEOSTATIN-A
CNR1,Diphenyl purine derivative 4
PIK3CA,RAPAMYCIN
HDAC4,PMID29671355-Compound-52
NDUFB8,DB00157
PIK3CG,DB02656
S1PR3,US9522888
CHRNA4,CHEMBL3545353
,PF-4523655
PDGFRA,DB08901
MAP3K20,CENISERTIB
BAZ2B,CICLOPIROX OLAMINE
IL1B,XOMA 052
MAPK14,CHEMBL2031465
HSD17B10,EMBELIN
GABRB1,CHEMBL407
ADRA1A,CHEMBL1200996
GAPDH,DB09130
MET,249565631
CMA1,178103177
CCR2,135651230
ADRB2,GNF-PF-5294
TUBB3,CHEMBL1742994
PTPN1,LICOAGRODIN
PROC,avatrombopag
CYP2D6,MRS-1220
GRIK2,HEXOBARBITAL
STAT3,CIGLITAZONE
HDAC8,PMID29671355-Compound-62
MAPT,CRYPTOTANSHINONE
GABRR3,CLOTIAZEPAM
CDK18,CHEMBL488436
CYP3A4,RELCOVAPTAN
NRAS,TRAMETINIB
NR1H4,PMID29649907-Compound-13
MLNR,135652470
MMP2,RO-26-2853
LIMK1,BMS-345541
TSHR,SULFISOXAZOLE
HLA-C,THERAPEUTIC TUMOR INFILTRATING LYMPHOCYTES
GPC3,RG7686
MMP9,DB01017
RARA,DB00926
CHRNA4,DB00915
HRH1,ACEPROMETAZINE
HLA-DRB1,propylthiouracil
BAZ2B,SR-2640
IL4I1,DB03147
CHRM1,CHEMBL1200950
GCLM,DB00151
KRAS,Lapatinib
VEGFC,bevacizumab
P2RY4,135650724
CACNA1D,CHEMBL940
NR1H2,135650496
ERBB2,FF-284
PRKX,178101884
GBA,SJ000170251
TUBA3D,CHEMBL2105643
MERTK,381118865
KCNJ1,PMID26004420-Compound-WO2013028474A
APOBEC3G,TCMDC-124266
ESRRB,135649858
RGS4,perphenazine
GABRE,CHEMBL931
SLC2A4,RHGH
ADRB1,CHEMBL1200363
HTR2A,Temanogrel
ADRB2,CHEMBL1201731
SPHK1,404859088
,Oxybuprocaine
PDE4A,DB08811
MSANTD1,risperidone
CYP2C9,ARASERTACONAZOLE
EEF1A1,SPARSOMYCIN
KDM4A,TCMDC-124176
RARA,135650918
MAPK1,PATULIN
PDK1,Heteroaryl-carboxamide derivative 10
CXCR2,GSK1325756
MTOR,BI 860585
ABCC8,Gliclazide
MAP2K1,CHEMBL2105741
VDR,ZK-159222
,Sarecycline
LPL,Ibrolipim
DRD2,Loxapine
KCNH2,CHLORPHENIRAMINE MALEATE
SLC5A2,BI-10773
HSD17B10,L-701324
BRAF,CI-1040
CYP3A4,METHOTREXATE
TNF,gemcitabine
ADRA2B,LOFEXIDINE
MGLL,Azetidine-benzoxazin-3(4H)-one derivative 2
AR,TRELANSERIN
CLK2,HARMINE
,DB06715
FEN1,NSC-61836
AR,MALTOTRIOSE
IGFBP1,DEXAMETHASONE
ACACA,252827541
CYP2D6,NSC-133896
KCNJ1,PMID26004420-Compound-WO2014099633E
CYP3A4,2- (2
CD40,DB06360
EPHB1,CHEMBL24828
ESR1,BN-OD-026
ATAD5,OUABAIN
,DB06689
,Epigallocatechin gallate
PPARG,BALSALAZIDE
CHEK2,249565724
NFKB2,Olenolic acid acetate derivative 1
,GSK2126458
ALDH1A1,DIOTYROSINE
HLA-DRB5,amoxicillin
MAPK9,223366077
VWF,FACTOR VIII
NR3C1,DB14669
AKT1,ARQ 751
ALOX15B,HEXACHLOROPHENE
BGLAP,GLUCOCORTICOID
VKORC1,178103444
PRDX5,2-(2-HYDROXYBENZYL)PHENOL
PNP,DB03551
NR1H4,7-O-METHYLCRYPTOCHINONE A
EHMT2,TCMDC-124240
TNFRSF17,P-BCMA-101
GABRE,TRIAZOLAM
ADORA2A,135650634
HRH3,Biphenyl derivative 4
CYP1A1,RECOMBINANT INTERFERON
SMN2,2-(4-NITROBENZYLSULFANYL)BENZOXAZOLE
PKIA,DB08150
F5,Drotrecogin alfa
ALOX15B,NORDIHYDROGUAIARETIC ACID
GRIA1,178101062
GABRE,FLURAZEPAM
NAT1,CHEMBL1200492
ERBB2,AV-412
SLC10A2,178103143
TARDBP,DNDI1417411
OPRK1,135650307
SLC2A4,BSO
CASP3,IPRIFLAVONE
CYP3A7,TESMILIFENE
TNFRSF17,Anti-CD19/BCMA CAR-T cells
IFNG,METHYLPREDNISOLONE
HDAC5,CUDC-101
ADRA1B,135650391
HTR2C,ATHX-105
HSD17B10,HYDRASTININE
DRD2,178100776
FGA,ALFIMEPRASE
GABRR1,OXAZEPAM
VDR,PLUMBAGIN
ADRA1B,PHENYLEPHRINE
CDKN2B,PALBOCICLIB
ACVRL1,249565824
PIK3CD,178102309
ADRA2A,DB00692
,EPX-200
MELK,GW843682X
ADRB1,CHEMBL1201731
AR,CEFPODOXIME PROXETIL
PDE7A,DYPHYLLINE
ADRA1D,DB00723
HTR2A,CYCLOBENZAPRINE
,Halobetasol Propionate
PROKR1,US9475795
GABRA6,FLUNITRAZEPAM
PSEN1,BMS-708163
TNFRSF11A,178101759
ETV6,N/A
DRD5,DB00589
BCL2L2,NAVITOCLAX
TP53,EGFR antibody
ERBB4,AZD-1152-HQPA
EGFR,VATALANIB
ALDH1A1,3
GSK3B,CHIR-99021
IMPDH2,MYCOPHENOLATE MOFETIL
DHODH,LEFLUNOMIDE
RB1,PF-06463922
PDPK1,AR-12
TOP2B,DB00694
HDAC3,2-ENE-VALPROATE
CDKN2A,VEMURAFENIB
CHRNA4,Nicotine
KCNH2,NOMIFENSINE MALEATE
UQCRQ,DB08453
DPYD,s 1 (combination)
EPM2A,olanzapine
VDR,NITROXOLINE
NDUFA9,CHEMBL3545135
STAT1,IPRIFLAVONE
,Enteric-coated mycophenolate sodium
IL1R1,DB05207
POLK,PROFLAVINE
OPRK1,DB00193
LDLR,ANTIVIRAL
GRIA1,SALINE
CD19,CD19-targeting CAR T cells
AR,NISOLDIPINE
MAPK3,MADOLIN A
,SPI-014
STAT3,Salicylic acid derivative 5
POLH,ETHACRYNIC ACID
IDH1,PROTRIPTYLINE HYDROCHLORIDE
HDAC1,DB11830
RET,RG-1530
ADORA2B,CHEMBL190
AR,TOLUIC ACID
PRL,NICARDIPINE
RXRA,DIBUTYLDICHLOROSTANNANE
ABAT,DB01080
EGFR,Atezolizumab
,Peptide analog 16
RPS6KA3,GS 6201
IL9,BNZ-1
PIK3CA,TGX-221
GABRE,OXAZEPAM
TNFSF13B,CHEMBL2107877
MAPK8,AM-111
MET,CO1686
TYMS,INDOMETHACIN
GABRA1,CLOTIAZEPAM
CASP3,inhibitor
HMGCR,fluvastatin
PRKAB1,252827478
KDM4E,2'
PIK3CD,PKI-587
ATIC,DB03442
NPFFR1,135651833
CHRM4,135651269
HCRTR1,1
MLNR,135652467
GMNN,A-443654
IL4,CHEMBL2108119
TNFRSF10A,H2O2
RXFP1,NSC-675972
ALDH1A3,DB00162
HSD17B10,TCMDC-124416
APP,AAB-002
TARDBP,SJ000260158
SLC6A4,TRAMADOL
EHMT2,PAPAVERINE
ADRA1A,DB01175
GABBR2,CHEMBL448343
IGFBP3,DB06448
ACE,MOEXIPRIL
SCN1A,CHEMBL861
SCN11A,CHEMBL919
CYP3A4,DOFETILIDE
CYP2C19,NS-1619
HTR1A,249565862
TUBA1A,NSC-751382
SMAD3,NITROXOLINE
HSP90AB1,IPI-504
JAK3,387065609
PGM1,DB02835
SMO,PMID25726713-Compound-56
PFKFB4,DB04493
ESR2,DB03467
RXRB,CHEMBL1131
CNR2,N
DNMT1,TCMDC-125813
TGFB1,TOREMIFENE
,EVEROLIMUS
AXL,Gilteritinib
HTT,MMV009085
HPGD,SJ000044511
TH,SERTRALINE HYDROCHLORIDE
CYP2D6,ADIPHENINE
ALK,Ceritinib
BDKRB2,135650286
MC4R,135650955
VDR,SLAZINIC ACID
KDR,TAE-684
CD274,LY3300054
ABCB1,RITONAVIR
MC4R,DB11653
CACNG3,CHEMBL940
MTRF1L,antidepressants
NR3C1,FLUTICASONE FUROATE
FLT1,DB05075
CYP2C19,OFLOXACIN
UGT1A7,allopurinol
PSMB3,CHEMBL3545432
EHMT2,2-CHLORO-ADENOSINETRIPHOSPHATE
SCN3A,CHEMBL1200443
POLB,GNF-PF-1852
CYP2C19,efavirenz
HTR1A,135650809
AURKA,328083499
TYR,Polyhydroxy benzamide derivative 4
FFAR1,135650927
CNR1,Pyrido[2
ESR1,CHEMBL1200430
SCN8A,CHEMBL3545209
TOP1,(20S
GABRA1,CHEMBL262075
ADORA3,178102231
PPARG,DB03756
PPARG,CHEMBL107367
RXRA,DACTINOMYCIN
FSHR,thyrotropin alfa
NR3C1,FLUMETHASONE PIVALATE
AR,DB05234
IDH1,TANNIC ACID
PRKAB1,PROGESTERONE
FTH1,Ferritarg P
HTR2B,135650239
KCNH2,PIMOZIDE
HCAR2,178102413
PPARG,135651503
CYP3A4,LY-255283
PIK3R4,BYL719
CDK9,375973268
FYN,AZAKENPAULLONE
TRPV1,PMID25666693-Compound-22
F12,ANTITHROMBIN
BAZ2B,GNF-PF-3237
PRSS1,DB04446
VHL,STF-62247
YES1,CUDC-101
EHMT2,AZETIDINE-2
KCNH2,DB01118
GLP1R,GNF-PF-3191
FPR3,135651789
NOS3,DB01110
DRD2,Zicronapine
ALDH1A1,GNF-PF-1656
TRPV1,PMID25666693-Compound-63
PREP,405560408
ABCB1,prednisolone
PIK3C2A,BYL719
AKR1B1,Epalrestat
DPYD,DB09327
,Pachycarpine
MAP2K1,CHEMBL3187723
,Fused thiophene derivative 1
ERBB4,CHEMBL3545133
PDGFRB,404859065
BRCA1,WISTIN
TP53,IL-12
KCNK10,CHEMBL1257
NTRK2,223366033
PRKCG,ENZASTAURIN
GRM8,178102837
CXCR5,SAR113244
XBP1,ISOVELLERAL
PYGL,methotrexate
OPRM1,DB06274
SCN9A,CHEMBL79
FLT3,DB01268
KDM4E,GNF-PF-2755
NR3C1,178103666
SMARCA4,PALBOCICLIB
HTR2A,QUETIAPINE
GFRA1,178101552
PIK3CA,GDC-0032
PDGFRA,DB09079
HRH3,135650315
PLA2G1B,MPA
GABRR2,FLUDIAZEPAM
ATXN2,PIPLARTINE
DRD1,PERGOLIDE
MET,DB08865
OPRM1,DB01081
EGF,cetuximab
HSF1,CYCLOHEXIMIDE
NRAS,MK2206
LYN,DB01254
PARP3,DB08058
ADRB1,BUFURALOL
MAG,GSK249320
ALOX5AP,DB05225
,AEA-35p
PDE1B,US10092575
BIRC5,ANTIOXIDANT
PIK3C2G,BEZ235
KCNN2,135650151
RYR3,CHEMBL928
MT-ND1,DB01028
PRL,CALCIUM CHANNEL BLOCKER
ALDH1A1,DISULFOTON
COL1A1,CHEMBL2108709
IDH1,CUCURBITACIN B
CP,DB14489
FEN1,DNDI1417309
ABCB1,valinomycin
CYP2B6,sorafenib
ALDH3A1,cyclophosphamide
CYP2C9,DUP-697
TRPV1,PMID25666693-Compound-92
ATP1A1,Deslanoside
FGFR2,FIIN-01
XPNPEP2,252827461
CYP1A2,NSC-83217
ABL1,249565827
PTH,DB05883
FLT1,E-10030
PIK3CB,178102626
ATXN2,1-O-ACETYLGEOPYXIN A
CSF1R,249565930
DRD4,DB00409
FABP5,PMID27109571-Compound-17
GRK5,citalopram
HDAC4,PMID29671355-Compound-21
OPRK1,KMN-21
GSTP1,DB04972
OPRM1,DB00652
,DB00693
CDK2,DB07688
MTOR,PI-103
ERBB2,AZD8931
TUBB8,CHEMBL428647
VDR,AZOCYCLOTIN
HDAC11,348353622
TUBB6,CHEMBL289351
NTRK1,PMID28270010-Compound-Figure16-b-2
GGPS1,DB00710
TH,DEHYDROEPIANDROSTERONE
RECQL,MEN-10376
GABRA1,DB01189
JAK1,Pyrrolo[2
TRPC1,135649695
BDKRB1,135651895
DRD4,ROTIGOTINE
ADCYAP1R1,135651997
CS,DB04272
MAPT,3-METHOXYCATECHOL
GUCY1B3,CHEMBL136478
CYP2D6,(-)-U-50488
CAMK2A,DB07766
ATAD5,5-FLUOROURIDINE
HSPH1,DB12695
IDH1,MEVASTATIN
ADRA1A,CHEMBL679
KMO,Cyclopropane 1-carboxylic acid derivative 1
NCL,AS1411
MET,TYROSOL SINAPATE
SLC1A2,178101134
PIK3R4,BYL719
OXTR,178100609
BDNF,LIDOCAINE
MAPK1,IPRIFLAVONE
TRPV2,135652740
,LAPATINIB
CYP3A4,theophylline
CHRM4,135652718
HTR1A,OXYMETAZOLINE HYDROCHLORIDE
ABCB1,midazolam
KCNS2,CHEMBL1200728
BRAF,REGORAFENIB
,Coprexa
AR,DEFERASIROX
AURKA,PACLITAXEL
BRCA1,Rucaparib
CYP3A4,OXICONAZOLE NITRATE
CHRNA7,DB00794
FLT4,LENVATINIB
GABRQ,CHEMBL285674
RAB9A,N-(3
THBD,DB01050
CYP3A4,FLUOXETINE
PRKACA,DB07876
GJD4,178101095
CHRM1,178100304
CAMK4,ESTRADIOL BENZOATE
CYP2D6,RALOXIFENE
PTGER4,135649983
GABRA6,CHEMBL1257
ADRB1,178104017
HBB,DB06154
IL6,IFOSFAMIDE
FGFR3,ERDAFITINIB
PRKCD,KAI-9803
TYR,Resorcinol compound 31
PREP,DB01684
KCNJ11,diazoxide
IFNL3,ombitasvir / paritaprevir / ritonavir
CYP2C9,rosiglitazone
TUBA4A,CHEMBL3545252
CPB1,252166875
HTR2C,DB12177
F2,DB01725
KLK3,IMMUNOCONJUGATE
EGFR,GEFITINIB
OPRK1,TRAMADOL
HNMT,DB13875
OPRK1,CODEINE
CHRM3,PROPIOMAZINE
AVPR1B,(R)-PIA
EGFR,ABT-414
CYP3A4,S-ETOMIDATE
,(-)-deprenyl
TNF,ISIS-104838
DHFR,DB03461
TXNRD1,Terpyridineplatinum(II) complexe 2
KRAS,RAFAMETINIB
PDE4A,ENPROFYLLINE
EHMT2,WIN-62577
SSTR3,135652471
SLC6A9,178101337
RPS6KA3,LY-2090314
MCL1,252166530
CCL7,RU 486
TBK1,Pyrimidinyl compound 7
ABCG2,TARIQUIDAR
AKR1C3,ANDROGENS
JAK1,Baricitinib
HDAC6,PANOBINOSTAT
CNGA1,dequalinium
HIF1A,(R)-MELPHALAN
CDK9,340590256
RARB,Tamibarotene
CHRM3,178100307
KAT2A,GAMOLENIC ACID
PAK4,310264718
SRC,354702286
GPR55,ISOVELLERAL
ADORA2B,CHEMBL113
CYP1A2,BETA-LAPACHONE
CDK1,KENPAULLONE
HPGD,NSC-83217
ADRB2,CHEMBL714
TTR,ALN-TTR
TACR1,VAPREOTIDE
FLT4,CHEMBL270995
BAZ2B,5
LGALS7,DB02379
CYP7B1,MITOMYCIN-C
GABRR3,178100929
ESR1,CHEMBL68055
ASIC3,381744988
CACNA1B,GNF-PF-3464
PTGS2,CHEMBL1200864
RAD54L,SJ000114950
SMAD3,N-ACETYLCOLCHINOL
NOS2,363894143
KCNN4,135650723
TACR2,178100718
FBP1,DB08484
HTR6,AVN-101
MVD,135649848
ERBB2,AZD8931
ESR1,Toremifene
POLR2A,3'-DCTP
KCNH2,NISOXETINE HYDROCHLORIDE
MAPK14,IL-2
P2RY12,CHEMBL1083385
IMPDH2,DB06103
HSD17B10,CAFFEIC ACID
SLC6A9,SSR-504734
ADRB2,PROPRANOLOL
SLC19A1,Folic Acid
PPARD,PIMOZIDE
LCN1,DB00755
ALOX15,PURPUROGALLIN
ADRA2A,PHENTOLAMINE
JAK2,AZD1208
NFE2L2,PHLORETIN
MAP2K1,AZD8330
ADRB2,MILVETEROL
COIL,ACTINOMYCIN D
GNRH1,Goserelin
CCS,DB14533
CXCR4,CHEMBL3545330
CNR1,JD-5037
KLRK1,CYAD-101
CA5A,135651493
MT1IP,BUTYRATE
NME1,tenofovir
,BAY1251152
HSPA4,AEG-33773
CYP2C9,FPL-64176
NPR1,ERYTHRITYL TETRANITRATE
CD19,DB13881
IL6,ECHINACEA
CD3G,VISILIZUMAB
HTR2A,DB08815
ABCC2,SN-38
MT-ND1,DESFLURANE
CA9,SULFAMIDE
SLC18A2,178101473
GABRA6,178100875
EDNRA,CHEMBL431651
CES2,SN-38
DRD1,DIHYDROERGOTAMINE
JAK3,PMID27774822-Compound-Figure2Example1-1left
PPARD,DB05416
ODC1,Eflornithine
CTSG,SULFONE
DRD2,CARPHENAZINE
APEX1,HYPERICIN
GJD3,135650269
CALCA,botulinum toxin type a
AVPR1A,135651270
ABCB11,lapatinib
HCRTR1,CHEMBL3545367
HDAC6,AR-42
PTPN11,4-HYDRAZINYLBENZENESULFONIC ACID
NDUFAF4,CHEMBL1703
IRAK4,249565765
CYP3A4,PARAROSANILINE
HRH1,CHEMBL1237102
,Tegobuvir
TUBB1,NOCODAZOLE
PTGIR,135651236
CD58,ALBUMIN
TP53,METHIMAZOLE
GABRA5,ALPRAZOLAM
CHRM3,DB01019
GRM3,PMID25435285-Compound-20
PAK4,PF-562271
FLCN,SIROLIMUS
GNMT,DB01752
CDK6,DB07379
KCNH2,PHENTOLAMINE MESYLATE
CNR2,Dronabinol oral solution
APEX1,ROBINETIN
EGFR,CYTOREDUCTIVE SURGERY
SLC22A12,Ring-fused compound 1
ADRA1A,DB01186
SSTR1,135651698
GDF5,RhGDF-5
KDM4E,(S)APOMORPHINE
KDM4A,DNDI1417147
NFE2L2,TRIBROMOACETIC ACID
PTGS2,capecitabine
HDAC8,PMID29671355-Compound-68b
HPGD,NIFEDIPINE
PIK3CA,CHEMBL3360203
PDE2A,Triazolo-phthalazine derivative 1
PIK3CA,CHEMBL3545006
LTF,DB04743
TUBB2B,CHEMBL2304041
MAPK14,GSK610677
KDR,381118891
GLP1R,TCMDC-125142
TOP1,Pegamotecan
PTGS2,DB00821
,SF0166
KIT,QUIZARTINIB
MET,Sorafenib
ERBB4,178101724
CXCR4,252166735
NFKB1,BACLOFEN
HDAC11,VORINOSTAT
UGCG,CHEMBL2103853
PTGS2,TOLMETIN
HTR1A,METHYSERGIDE
ADRB2,OLODATEROL
TERT,Imetelstat
ADRA1B,CHEMBL1558
ITGB1,131I-radretumab
GRM3,PMID25435285-Compound-16
PTGDS,DB00162
KDR,178102511
PPARD,MITOXANTRONE DIHYDROCHLORIDE
SQLE,DB01091
CKB,DB00148
CHRNA7,JNJ-39393406
CACNA1C,DB00243
HSP90AA1,TCMDC-123868
GYG1,DB01861
TUBA4A,CHEMBL2103826
CDK9,363894197
PBRM1,ALPRAZOLAM
ACHE,DB00805
PDCD1,340590236
MMP15,252166829
ASIC3,178100959
AR,GNF-PF-3148
CCR4,MOGAMULIZUMAB
SRC,DB03078
ESR2,CHEMBL1116
VDR,HEXACHLOROPHENE
HTR1D,CHEMBL1201032
ADRA2C,isoproterenol
ESR1,CHEMBL3545274
IMPDH2,6-CL-PRT-BIOTIN
MT-ND5,CHEMBL3545320
SMO,IPI-926
KDM4A,TYRPHOSTIN 51
ABCB1,voriconazole
VDR,AG-494
APCS,GSK2398852
MAPT,OXYPHENBUTAZONE
EGFR,Gedatolisib
HDAC7,PMID29671355-Compound-62
ADRA1B,DB00908
HRAS,HYDROXYUREA
DRD2,DB01224
PLA2G2A,DIFLUOROMETHYLORNITHINE
CYP3A7,HORMONES
AKT1,risperidone
IGKC,DB07416
HDAC6,PMID29671355-Compound-23
FEN1,MYRICETIN
CDK2,178102561
HEBP1,PMID28454500-Compound-60
MAP3K9,CEP1347
EGF,DB11973
TPBG,374883834
AR,DB07769
TACR1,178100652
AR,135650719
FGFR1,354702242
LDHA,ANTHRACYCLINES
,US9650366
CYP2C9,NSC-117079
GMNN,TCMDC-125298
ALOX5,ZILEUTON
HSPA4,TRAIL
MAPK1,NSC-3323
DRD2,ZIPRASIDONE
CYP2D6,HALOPERIDOL
CACNA1A,DB00836
MAPT,GW282974X
CYP3A4,nelfinavir
IL6,YSIL6
EPOR,DB08894
GDNF,Liatermin
PKM,CID 752709
SMN1,DNDI1416969
KDR,178102299
CCR2,404859033
GRIN2A,DIZOCILPINE
,Cephaloglycin
KCNJ1,PMID26004420-Compound-US20140031349D
ELANE,2-pyrazinone derivative 4
EHMT2,CAPENSIN
HSD17B10,3-METHOXYCATECHOL
ADRB2,remifentanil
SMN1,AG-1296
HTR2A,3-phenyl pyrazole derivative 1
SCN3A,384403636
TP53,inducer
TNFRSF8,178103378
BAZ2B,NIFLUMIC ACID
CYP1A2,FENOFIBRATE
HRH1,DB00748
,RH 1
SLC22A1,135650112
GABRA4,METHYLPHENOBARBITAL
FGFR2,DB12010
SLC22A12,Fused heterocyclic compound 12
PON1,DB14548
TP53,ZM-449829
YES1,SILMITASERTIB
MUC1,SAR-566658
P2RY4,5-OME-UTP
ADRB3,DB00871
ITPR1,135651544
PIK3CA,CHEMBL2219421
NTRK1,249565803
ASIC3,178100949
JAK3,249565637
USP1,INAMRINONE
PRSS1,DB02269
COL18A1,GLUTAMINE
ALK,TAMATINIB
,Biaryl mannoside derivative 4
CTNNA2,Tumor necrosis factor alpha (TNF-alpha) inhibitors
,IRX-5183
NFE2L2,PREDNISOLONE
TGM2,PMID26560530-Compound-32
GABRA2,178101104
KDR,CHEMBL253969
HTR7,SB-269970
FGFR2,AZD4547
ADRA2C,CHEMBL2062265
CSF1R,310264755
PLK1,GNF-PF-159
PIP4K2B,DB12010
P2RX1,178101053
SCN2A,CHEMBL29919
VDR,9
HNF1A,N/A
USP1,DIMETHYL GAMBOGATE
KDR,TIVOZANIB
PRSS2,DB04325
HTR2C,DB09195
CHRNA6,178100811
F5,DB13149
RAB9A,4'
FGFR4,DB15102
KMO,Isoxazoles and isoxazoline derivative 2
KDM4A,ENCLOMIPHENE CITRATE
TPSAB1,Lactoferrin
TRPC5,135650295
PIK3CG,CLR-1401
,Dasatinib
PTPRM,methotrexate
HRH1,Brompheniramine
,JKB-122
MMP3,DB02350
JAK1,PMID27774824-Compound-Figure9Example2down
GNRHR,178100699
,Afabicin
EDNRA,Bosentan
NPM1,Deguelin
PTGIR,EPOPROSTENOL
AR,DIBEKACIN
KDR,DB05931
GPR18,135651444
MTOR,TYRPHOSTIN A9
SLC5A4,GLUFOSFAMIDE
HPSE,ASTEMIZOLE
CD247,DB00075
TOP2A,ADRIAMYCIN
SLC6A3,CHEMBL796
HDAC2,348353622
CXCL12,REC-02
PRKD3,BMS-387032
CYP2J2,nabumetone
SCO1,DB09130
NTRK2,TCMDC-125758
PTGS2,FLURBIPROFEN
FLT3,cabozantinib
KDR,XL999
HSD17B10,GNF-PF-5510
GABRA1,CHEMBL1200694
GAL,Selective serotonin reuptake inhibitors
CHRM1,PROMETHAZINE
MAP2K6,TRAMETINIB
MPHOSPH8,A-77636 HCL
CYP3A4,SAPPANONE A TRIMETHYL ETHER
