Drug_name,Pathway_name,smpdb-id,category
Isoleucine,3-Methylglutaconic Aciduria Type III,SMP0000140,disease
Isoleucine,3-Methylglutaconic Aciduria Type IV,SMP0000141,disease
Cholecalciferol,Lovastatin Action Pathway,SMP0000099,drug_action
Cholecalciferol,Cerivastatin Action Pathway,SMP0000111,drug_action
Cholecalciferol,Hypercholesterolemia,SMP0000209,disease
Cholecalciferol,Chondrodysplasia Punctata II, X-Linked Dominant (CDPX2),SMP0000388,disease
Cholecalciferol,Smith-Lemli-Opitz Syndrome (SLOS),SMP0000389,disease
Cholecalciferol,Mevalonic Aciduria,SMP0000510,disease
Cholecalciferol,Simvastatin Action Pathway,SMP0000082,drug_action
Cholecalciferol,Pravastatin Action Pathway,SMP0000089,drug_action
Cholecalciferol,Rosuvastatin Action Pathway,SMP0000092,drug_action
Cholecalciferol,Zoledronate Action Pathway,SMP0000107,drug_action
Cholecalciferol,Pamidronate Action Pathway,SMP0000117,drug_action
Cholecalciferol,Fluvastatin Action Pathway,SMP0000119,drug_action
Cholecalciferol,Lysosomal Acid Lipase Deficiency (Wolman Disease),SMP0000319,disease
Cholecalciferol,Cholesteryl Ester Storage Disease,SMP0000508,disease
Cholecalciferol,Steroid Biosynthesis,SMP0000023,metabolic
Cholecalciferol,Ibandronate Action Pathway,SMP0000079,drug_action
Cholecalciferol,Alendronate Action Pathway,SMP0000095,drug_action
Cholecalciferol,Risedronate Action Pathway,SMP0000112,drug_action
Cholecalciferol,Atorvastatin Action Pathway,SMP0000131,drug_action
Cholecalciferol,Desmosterolosis,SMP0000386,disease
Cholecalciferol,CHILD Syndrome,SMP0000387,disease
Cholecalciferol,Hyper-IgD Syndrome,SMP0000509,disease
Cholecalciferol,Wolman Disease,SMP0000511,disease
ATP,Carbamoyl Phosphate Synthetase Deficiency,SMP0000002,disease
ATP,Argininosuccinic Aciduria,SMP0000003,disease
ATP,Glycine and Serine Metabolism,SMP0000004,metabolic
ATP,Ammonia Recycling,SMP0000009,metabolic
ATP,Inositol Metabolism,SMP0000011,metabolic
ATP,Propanoate Metabolism,SMP0000016,metabolic
ATP,Arginine and Proline Metabolism,SMP0000020,metabolic
ATP,Selenoamino Acid Metabolism,SMP0000029,metabolic
ATP,Pentose Phosphate Pathway,SMP0000031,metabolic
ATP,Glycerolipid Metabolism,SMP0000039,metabolic
ATP,Galactose Metabolism,SMP0000043,metabolic
ATP,Histidine Metabolism,SMP0000044,metabolic
ATP,Pyrimidine Metabolism,SMP0000046,metabolic
ATP,Purine Metabolism,SMP0000050,metabolic
ATP,Fatty Acid Metabolism,SMP0000051,metabolic
ATP,Citric Acid Cycle,SMP0000057,metabolic
ATP,Starch and Sucrose Metabolism,SMP0000058,metabolic
ATP,Pyruvate Metabolism,SMP0000060,metabolic
ATP,Glutamate Metabolism,SMP0000072,metabolic
ATP,Butyrate Metabolism,SMP0000073,metabolic
ATP,Thiamine Metabolism,SMP0000076,metabolic
ATP,Simvastatin Action Pathway,SMP0000082,drug_action
ATP,Pravastatin Action Pathway,SMP0000089,drug_action
ATP,Rosuvastatin Action Pathway,SMP0000092,drug_action
ATP,Zoledronate Action Pathway,SMP0000107,drug_action
ATP,Pamidronate Action Pathway,SMP0000117,drug_action
ATP,Fluvastatin Action Pathway,SMP0000119,drug_action
ATP,Betaine Metabolism,SMP0000123,metabolic
ATP,Gluconeogenesis,SMP0000128,metabolic
ATP,2-Methyl-3-hydroxybutryl-CoA Dehydrogenase Deficiency,SMP0000137,disease
Proline,Arginine and Proline Metabolism,SMP0000020,metabolic
Proline,Guanidinoacetate Methyltransferase Deficiency (GAMT Deficiency),SMP0000188,disease
Proline,Clarithromycin Action Pathway,SMP0000248,drug_action
Proline,Roxithromycin Action Pathway,SMP0000251,drug_action
Proline,Gentamicin Action Pathway,SMP0000254,drug_action
Proline,Oxytetracycline Action Pathway,SMP0000293,drug_action
Proline,Tetracycline Action Pathway,SMP0000294,drug_action
Proline,Hyperprolinemia Type II,SMP0000360,disease
Proline,Hyperprolinemia Type I,SMP0000361,disease
Proline,L-Arginine:Glycine Amidinotransferase Deficiency,SMP0000507,disease
Proline,Arbekacin Action Pathway,SMP0000713,drug_action
Proline,Troleandomycin Action Pathway,SMP0000730,drug_action
Proline,Josamycin Action Pathway,SMP0000731,drug_action
Proline,The Oncogenic Action of Succinate,SMP0002292,disease
Proline,Azithromycin Action Pathway,SMP0000247,drug_action
Proline,Clindamycin Action Pathway,SMP0000249,drug_action
Proline,Erythromycin Action Pathway,SMP0000250,drug_action
Proline,Kanamycin Action Pathway,SMP0000255,drug_action
Proline,Neomycin Action Pathway,SMP0000256,drug_action
Proline,Netilmicin Action Pathway,SMP0000257,drug_action
Proline,Streptomycin Action Pathway,SMP0000259,drug_action
Proline,Clomocycline Action Pathway,SMP0000262,drug_action
Proline,Arginine: Glycine Amidinotransferase Deficiency (AGAT Deficiency),SMP0000362,disease
Proline,Creatine Deficiency, Guanidinoacetate Methyltransferase Deficiency,SMP0000504,disease
Proline,Hyperornithinemia with Gyrate Atrophy (HOGA),SMP0000505,disease
Proline,Tobramycin Action Pathway,SMP0000711,drug_action
Proline,Rolitetracycline Action Pathway,SMP0000726,drug_action
Proline,The Oncogenic Action of Fumarate,SMP0002295,disease
Proline,Prolidase Deficiency (PD),SMP0000207,disease
Proline,Prolinemia Type II,SMP0000208,disease
Adenine,Adenylosuccinate Lyase Deficiency,SMP0000167,disease
Adenine,Xanthine Dehydrogenase Deficiency (Xanthinuria),SMP0000220,disease
Adenine,Xanthinuria Type I,SMP0000512,disease
Adenine,Mitochondrial DNA Depletion Syndrome,SMP0000536,disease
Adenine,Myoadenylate Deaminase Deficiency,SMP0000537,disease
Adenine,Purine Metabolism,SMP0000050,metabolic
Adenine,Purine Nucleoside Phosphorylase Deficiency,SMP0000210,disease
Adenine,Lesch-Nyhan Syndrome (LNS),SMP0000364,disease
Adenine,Gout or Kelley-Seegmiller Syndrome,SMP0000365,disease
Adenine,Mercaptopurine Action Pathway,SMP0000428,drug_action
Adenine,Adenine Phosphoribosyltransferase Deficiency (APRT),SMP0000535,disease
Adenine,Adenosine Deaminase Deficiency,SMP0000144,disease
Adenine,AICA-Ribosiduria,SMP0000168,disease
Adenine,Molybdenum Cofactor Deficiency,SMP0000203,disease
Adenine,Azathioprine Action Pathway,SMP0000427,drug_action
Adenine,Thioguanine Action Pathway,SMP0000430,drug_action
Adenine,Xanthinuria Type II,SMP0000513,disease
Asparagine,Ammonia Recycling,SMP0000009,metabolic
Asparagine,Clarithromycin Action Pathway,SMP0000248,drug_action
Asparagine,Roxithromycin Action Pathway,SMP0000251,drug_action
Asparagine,Gentamicin Action Pathway,SMP0000254,drug_action
Asparagine,Oxytetracycline Action Pathway,SMP0000293,drug_action
Asparagine,Tetracycline Action Pathway,SMP0000294,drug_action
Asparagine,Arbekacin Action Pathway,SMP0000713,drug_action
Asparagine,Troleandomycin Action Pathway,SMP0000730,drug_action
Asparagine,Josamycin Action Pathway,SMP0000731,drug_action
Asparagine,Azithromycin Action Pathway,SMP0000247,drug_action
Asparagine,Clindamycin Action Pathway,SMP0000249,drug_action
Asparagine,Erythromycin Action Pathway,SMP0000250,drug_action
Asparagine,Kanamycin Action Pathway,SMP0000255,drug_action
Asparagine,Neomycin Action Pathway,SMP0000256,drug_action
Asparagine,Netilmicin Action Pathway,SMP0000257,drug_action
Asparagine,Streptomycin Action Pathway,SMP0000259,drug_action
Asparagine,Clomocycline Action Pathway,SMP0000262,drug_action
Asparagine,Tobramycin Action Pathway,SMP0000711,drug_action
Asparagine,Rolitetracycline Action Pathway,SMP0000726,drug_action
Asparagine,Aspartate Metabolism,SMP0000067,metabolic
Asparagine,Canavan Disease,SMP0000175,disease
Asparagine,Hypoacetylaspartia,SMP0000192,disease
Asparagine,Telithromycin Action Pathway,SMP0000252,drug_action
Asparagine,Amikacin Action Pathway,SMP0000253,drug_action
Asparagine,Spectinomycin Action Pathway,SMP0000258,drug_action
Asparagine,Demeclocycline Action Pathway,SMP0000290,drug_action
Asparagine,Doxycycline Action Pathway,SMP0000291,drug_action
Asparagine,Minocycline Action Pathway,SMP0000292,drug_action
Asparagine,Lymecycline Action Pathway,SMP0000295,drug_action
Asparagine,Tigecycline Action Pathway,SMP0000712,drug_action
Pravastatin,Pravastatin Action Pathway,SMP0000089,drug_action
Valsartan,Valsartan Action Pathway,SMP0000165,drug_action
Ramipril,Ramipril Action Pathway,SMP0000154,drug_action
Ramipril,Ramipril Metabolism Pathway,SMP0000597,drug_metabolism
Nicotine,Nicotine Action Pathway,SMP0000431,drug_action
Nicotine,Nicotine Metabolism Pathway,SMP0000628,drug_metabolism
Esmolol,Esmolol Action Pathway,SMP0000301,drug_action
Tramadol,Tramadol Action Action Pathway,SMP0000671,drug_action
Tramadol,Tramadol Metabolism Pathway,SMP0000637,drug_metabolism
Betaxolol,Betaxolol Action Pathway,SMP0000299,drug_action
Erythromycin,Erythromycin Action Pathway,SMP0000250,drug_action
Caffeine,Caffeine Metabolism,SMP0000028,metabolic
Azithromycin,Azithromycin Action Pathway,SMP0000247,drug_action
Ticlopidine,Ticlopidine Action Pathway,SMP0000261,drug_action
Ticlopidine,Ticlopidine Metabolism Pathway,SMP0000611,drug_metabolism
Pantoprazole,Pantoprazole Metabolism Pathway,SMP0000615,drug_metabolism
Pantoprazole,Pantoprazole Action Pathway,SMP0000228,drug_action
Torasemide,Torsemide Action Pathway,SMP0000118,drug_action
Citalopram,Citalopram Action Pathway,SMP0000424,drug_action
Citalopram,Citalopram Metabolism Pathway,SMP0000627,drug_metabolism
Lovastatin,Lovastatin Action Pathway,SMP0000099,drug_action
Methyclothiazide,Methyclothiazide Action Pathway,SMP0000081,drug_action
Nevirapine,Nevirapine Metabolism Pathway,SMP0000642,drug_metabolism
Nevirapine,Nevirapine  Action Pathway,SMP0000743,drug_action
Phenytoin,Phenytoin (Antiarrhythmic) Action Pathway,SMP0000327,drug_action
Phenytoin,Fosphenytoin (Antiarrhythmic) Action Pathway,SMP0000326,drug_action
Phenytoin,Fosphenytoin (Antiarrhythmic) Metabolism Pathway,SMP0000618,drug_metabolism
Doxycycline,Doxycycline Action Pathway,SMP0000291,drug_action
Lymecycline,Lymecycline Action Pathway,SMP0000295,drug_action
Metoprolol,Metoprolol Action Pathway,SMP0000302,drug_action
Dicoumarol,Dicumarol Action Pathway,SMP0000270,drug_action
Dicoumarol,Dicoumarol Action Pathway,SMP0000656,drug_action
Isradipine,Isradipine Action Pathway,SMP0000378,drug_action
Betazole,Betazole Action Pathway,SMP0000736,drug_action
Olmesartan,Olmesartan Action Pathway,SMP0000163,drug_action
Theophylline,Caffeine Metabolism,SMP0000028,metabolic
Argatroban,Argatroban Action Pathway,SMP0000276,drug_action
Liothyronine,Thyroid Hormone Synthesis,SMP0000716,metabolic
Disopyramide,Disopyramide Action Pathway,SMP0000325,drug_action
Lidocaine,Lidocaine (Antiarrhythmic) Action Pathway,SMP0000328,drug_action
Lidocaine,Lidocaine (Local Anaesthetic) Action Pathway,SMP0000398,drug_action
Lidocaine,Lidocaine (Local Anaesthetic) Metabolism Pathway,SMP0000620,drug_metabolism
Pamidronic acid,Pamidronate Action Pathway,SMP0000117,drug_action
Clemastine,Clemastine H1-Antihistamine Action,SMP0058891,drug_action
Venlafaxine,Venlafaxine Metabolism Pathway,SMP0000636,drug_metabolism
Morphine,Morphine Action Pathway,SMP0000406,drug_action
Morphine,Codeine Action Pathway,SMP0000405,drug_action
Morphine,Heroin Metabolism Pathway,SMP0000623,drug_metabolism
Morphine,Heroin Action Pathway,SMP0000407,drug_action
Morphine,Codeine Metabolism Pathway,SMP0000621,drug_metabolism
Morphine,Morphine Metabolism Pathway,SMP0000622,drug_metabolism
Ropivacaine,Ropivacaine Action Pathway,SMP0000404,drug_action
Bupivacaine,Bupivacaine Action Pathway,SMP0000393,drug_action
Tenofovir disoproxil,Tenofovir Metabolism Pathway,SMP0000630,drug_metabolism
Tranexamic acid,Tranexamic Acid Action Pathway,SMP0000287,drug_action
Ibutilide,Ibutilide Action Pathway,SMP0000332,drug_action
Vindesine,Vindesine Action Pathway,SMP0000438,drug_action
Chlorthalidone,Chlorthalidone Action Pathway,SMP0000122,drug_action
Valproic acid,Valproic Acid Metabolism Pathway,SMP0000635,drug_metabolism
Acetaminophen,Acetaminophen Metabolism Pathway,SMP0000640,drug_metabolism
Acetaminophen,Acetaminophen  Action Pathway,SMP0000710,drug_action
Gefitinib,Gefitinib Action Pathway,SMP0000473,drug_action
Codeine,Codeine Metabolism Pathway,SMP0000621,drug_metabolism
Codeine,Codeine Action Pathway,SMP0000405,drug_action
Hydromorphone,Hydromorphone Action Pathway,SMP0000410,drug_action
Indomethacin,Indomethacin Action Pathway,SMP0000104,drug_action
Methadone,Methadone Action Pathway,SMP0000408,drug_action
Methadone,Methadone Metabolism Pathway,SMP0000624,drug_metabolism
Atenolol,Atenolol Action Pathway,SMP0000298,drug_action
Omeprazole,Omeprazole Metabolism Pathway,SMP0000613,drug_metabolism
Omeprazole,Omeprazole Action Pathway,SMP0000226,drug_action
Cetirizine,Cetirizine H1-Antihistamine Action,SMP0059058,drug_action
Terfenadine,Terfenadine H1-Antihistamine Action,SMP0060208,drug_action
Diltiazem,Diltiazem Action Pathway,SMP0000359,drug_action
Tioguanine,Thioguanine Action Pathway,SMP0000430,drug_action
Tioguanine,Thioguanine Metabolism Pathway,SMP0000647,drug_metabolism
Buclizine,Buclizine H1-Antihistamine Action,SMP0058964,drug_action
Sapropterin,Tryptophan Metabolism,SMP0000063,metabolic
Sapropterin,Arginine: Glycine Amidinotransferase Deficiency (AGAT Deficiency),SMP0000362,disease
Sapropterin,DOPA-Responsive Dystonia,SMP0000486,disease
Sapropterin,Creatine Deficiency, Guanidinoacetate Methyltransferase Deficiency,SMP0000504,disease
Sapropterin,Hyperornithinemia with Gyrate Atrophy (HOGA),SMP0000505,disease
Sapropterin,Doxorubicin Metabolism Pathway,SMP0000650,drug_metabolism
Sapropterin,Tyrosine Metabolism,SMP0000006,metabolic
Sapropterin,Arginine and Proline Metabolism,SMP0000020,metabolic
Sapropterin,Guanidinoacetate Methyltransferase Deficiency (GAMT Deficiency),SMP0000188,disease
Sapropterin,Tyrosinemia Type I,SMP0000218,disease
Sapropterin,Hyperprolinemia Type II,SMP0000360,disease
Sapropterin,Hyperprolinemia Type I,SMP0000361,disease
Sapropterin,Disulfiram Action Pathway,SMP0000429,drug_action
Sapropterin,Hyperphenylalaniemia Due to Guanosine Triphosphate Cyclohydrolase Deficiency,SMP0000487,disease
Sapropterin,Hyperphenylalaninemia Due to 6-Pyruvoyltetrahydropterin Synthase Deficiency (ptps),SMP0000488,disease
Sapropterin,L-Arginine:Glycine Amidinotransferase Deficiency,SMP0000507,disease
Sapropterin,Pterine Biosynthesis,SMP0000005,metabolic
Sapropterin,Alkaptonuria,SMP0000169,disease
Sapropterin,Hawkinsinuria,SMP0000190,disease
Sapropterin,Prolidase Deficiency (PD),SMP0000207,disease
Sapropterin,Prolinemia Type II,SMP0000208,disease
Sapropterin,Ornithine Aminotransferase Deficiency (OAT Deficiency),SMP0000363,disease
Sapropterin,Hyperphenylalaninemia Due to DHPR-Deficiency,SMP0000489,disease
Sapropterin,Segawa Syndrome,SMP0000490,disease
Sapropterin,Sepiapterin Reductase Deficiency,SMP0000491,disease
Sapropterin,Tyrosinemia, Transient, of the Newborn,SMP0000494,disease
Sapropterin,Dopamine beta-Hydroxylase Deficiency,SMP0000498,disease
Sapropterin,Hyperornithinemia-Hyperammonemia-Homocitrullinuria [HHH-syndrome],SMP0000506,disease
Sapropterin,Monoamine Oxidase-A Deficiency (MAO-A),SMP0000533,disease
Sapropterin,Nitric Oxide Signaling Pathway,SMP0063777,signaling
Vinorelbine,Vinorelbine Action Pathway,SMP0000439,drug_action
Doxylamine,Doxylamine H1-Antihistamine Action,SMP0058803,drug_action
Norepinephrine,Aromatic L-Aminoacid Decarboxylase Deficiency,SMP0000170,disease
Norepinephrine,Benzocaine Action Pathway,SMP0000392,drug_action
Norepinephrine,Bupivacaine Action Pathway,SMP0000393,drug_action
Norepinephrine,Lidocaine (Local Anaesthetic) Action Pathway,SMP0000398,drug_action
Norepinephrine,Proparacaine Action Pathway,SMP0000403,drug_action
Norepinephrine,Codeine Action Pathway,SMP0000405,drug_action
Norepinephrine,Hydromorphone Action Pathway,SMP0000410,drug_action
Norepinephrine,Fentanyl Action Pathway,SMP0000415,drug_action
Norepinephrine,Sufentanil Action Pathway,SMP0000417,drug_action
Norepinephrine,Methadyl Acetate Action Pathway,SMP0000678,drug_action
Norepinephrine,Dimethylthiambutene Action Pathway,SMP0000680,drug_action
Norepinephrine,Dihydromorphine Action Pathway,SMP0000689,drug_action
Norepinephrine,Ketobemidone  Action Pathway,SMP0000690,drug_action
Norepinephrine,Alkaptonuria,SMP0000169,disease
Norepinephrine,Hawkinsinuria,SMP0000190,disease
Norepinephrine,Oxybuprocaine Action Pathway,SMP0000400,drug_action
Norepinephrine,Morphine Action Pathway,SMP0000406,drug_action
Norepinephrine,Hydrocodone Action Pathway,SMP0000411,drug_action
Norepinephrine,Oxymorphone Action Pathway,SMP0000412,drug_action
Norepinephrine,Remifentanil Action Pathway,SMP0000416,drug_action
Norepinephrine,Fluoxetine Action Pathway,SMP0000426,drug_action
Norepinephrine,Nicotine Action Pathway,SMP0000431,drug_action
Norepinephrine,Tyrosinemia, Transient, of the Newborn,SMP0000494,disease
Norepinephrine,Tyrosine Hydroxylase Deficiency,SMP0000497,disease
Norepinephrine,Dopamine beta-Hydroxylase Deficiency,SMP0000498,disease
Norepinephrine,Monoamine Oxidase-A Deficiency (MAO-A),SMP0000533,disease
Norepinephrine,Propoxyphene Action Pathway,SMP0000672,drug_action
Norepinephrine,Anileridine Action Pathway,SMP0000674,drug_action
Norepinephrine,3-Methylthiofentanyl Action Pathway,SMP0000679,drug_action
Norepinephrine,Levallorphan Action Pathway,SMP0000683,drug_action
Mirtazapine,Mirtazapine H1-Antihistamine Action,SMP0062885,drug_action
Meprobamate,Capecitabine Action Pathway,SMP0000469,drug_action
Meprobamate,Capecitabine Metabolism Pathway,SMP0000607,drug_metabolism
Timolol,Timolol Action Pathway,SMP0000659,drug_action
Mexiletine,Mexiletine Action Pathway,SMP0000329,drug_action
Amlodipine,Amlodipine Action Pathway,SMP0000376,drug_action
Triamterene,Triamterene Action Pathway,SMP0000132,drug_action
Nimodipine,Nimodipine Action Pathway,SMP0000380,drug_action
Progesterone,Congenital Lipoid Adrenal Hyperplasia (CLAH) or Lipoid CAH,SMP0000371,disease
Progesterone,11-beta-Hydroxylase Deficiency (CYP11B1),SMP0000575,disease
Progesterone,Apparent Mineralocorticoid Excess Syndrome,SMP0000717,disease
Progesterone,Adrenal Hyperplasia Type 5 or Congenital Adrenal Hyperplasia Due to 17 alpha-Hydroxylase Deficiency,SMP0000372,disease
Progesterone,Corticosterone Methyl Oxidase I Deficiency (CMO I),SMP0000577,disease
Progesterone,3-beta-Hydroxysteroid Dehydrogenase Deficiency,SMP0000718,disease
Progesterone,Steroidogenesis,SMP0000130,metabolic
Progesterone,Adrenal Hyperplasia Type 3 or Congenital Adrenal Hyperplasia Due to 21-Hydroxylase Deficiency,SMP0000373,disease
Progesterone,17-alpha-Hydroxylase Deficiency (CYP17),SMP0000566,disease
Progesterone,21-Hydroxylase Deficiency (CYP21),SMP0000576,disease
Progesterone,Corticosterone Methyl Oxidase II Deficiency (CMO II),SMP0000578,disease
Sorafenib,Sorafenib Metabolism Pathway,SMP0000648,drug_metabolism
Zoledronic acid,Zoledronate Action Pathway,SMP0000107,drug_action
Nisoldipine,Nisoldipine Action Pathway,SMP0000381,drug_action
Dexbrompheniramine,Dexbrompheniramine H1-Antihistamine Action,SMP0057580,drug_action
Ardeparin,Enoxaparin Action Pathway,SMP0000272,drug_action
Ardeparin,Ardeparin Action Pathway,SMP0000275,drug_action
Rosiglitazone,Rosiglitazone Metabolism Pathway,SMP0000653,drug_metabolism
Spironolactone,Spironolactone Action Pathway,SMP0000134,drug_action
Triprolidine,Triprolidine H1-Antihistamine Action,SMP0057581,drug_action
Cyproheptadine,Cyproheptadine H1-Antihistamine Action,SMP0059694,drug_action
Nitric Oxide,Arginine: Glycine Amidinotransferase Deficiency (AGAT Deficiency),SMP0000362,disease
Nitric Oxide,Creatine Deficiency, Guanidinoacetate Methyltransferase Deficiency,SMP0000504,disease
Nitric Oxide,Hyperornithinemia with Gyrate Atrophy (HOGA),SMP0000505,disease
Nitric Oxide,Arginine and Proline Metabolism,SMP0000020,metabolic
Nitric Oxide,Guanidinoacetate Methyltransferase Deficiency (GAMT Deficiency),SMP0000188,disease
Nitric Oxide,Hyperprolinemia Type II,SMP0000360,disease
Nitric Oxide,Hyperprolinemia Type I,SMP0000361,disease
Nitric Oxide,L-Arginine:Glycine Amidinotransferase Deficiency,SMP0000507,disease
Nitric Oxide,Prolidase Deficiency (PD),SMP0000207,disease
Nitric Oxide,Prolinemia Type II,SMP0000208,disease
Nitric Oxide,Ornithine Aminotransferase Deficiency (OAT Deficiency),SMP0000363,disease
Nitric Oxide,Hyperornithinemia-Hyperammonemia-Homocitrullinuria [HHH-syndrome],SMP0000506,disease
Nitric Oxide,Nitric Oxide Signaling Pathway,SMP0063777,signaling
Bendroflumethiazide,Bendroflumethiazide Action Pathway,SMP0000090,drug_action
Cerivastatin,Cerivastatin Action Pathway,SMP0000111,drug_action
Gemcitabine,Gemcitabine Metabolism Pathway,SMP0000603,drug_metabolism
Gemcitabine,Gemcitabine Action Pathway,SMP0000446,drug_action
Teniposide,Teniposide Action Pathway,SMP0000443,drug_action
Teniposide,Teniposide Metabolism Pathway,SMP0000602,drug_metabolism
Chloramphenicol,Chloramphenicol Action Pathway,SMP0000729,drug_action
Lansoprazole,Lansoprazole Metabolism Pathway,SMP0000614,drug_metabolism
Lansoprazole,Lansoprazole Action Pathway,SMP0000227,drug_action
Levothyroxine,Thyroid Hormone Synthesis,SMP0000716,metabolic
Framycetin,Neomycin Action Pathway,SMP0000256,drug_action
Clomocycline,Clomocycline Action Pathway,SMP0000262,drug_action
Loratadine,Loratadine H1-Antihistamine Action,SMP0060195,drug_action
Imipramine,Imipramine Action Pathway,SMP0000422,drug_action
Imipramine,Imipramine Metabolism Pathway,SMP0000625,drug_metabolism
Nabumetone,Nabumetone Action Pathway,SMP0000114,drug_action
Ketorolac,Ketorolac Action Pathway,SMP0000098,drug_action
Tenoxicam,Tenoxicam Action Pathway,SMP0000706,drug_action
Fluoxetine,Fluoxetine Metabolism Pathway,SMP0000646,drug_metabolism
Fluoxetine,Fluoxetine Action Pathway,SMP0000426,drug_action
Amikacin,Amikacin Action Pathway,SMP0000253,drug_action
Celecoxib,Celecoxib Action Pathway,SMP0000096,drug_action
Celecoxib,Celecoxib Metabolism Pathway,SMP0000644,drug_metabolism
Sotalol,Sotalol Action Pathway,SMP0000660,drug_action
Fosinopril,Fosinopril Action Pathway,SMP0000149,drug_action
Fosinopril,Fosinopril Metabolism Pathway,SMP0000594,drug_metabolism
Zidovudine,Zidovudine Action Pathway,SMP0000747,drug_action
Oxycodone,Oxycodone Action Pathway,SMP0000409,drug_action
Phenindione,Phenindione Action Pathway,SMP0000655,drug_action
Tolmetin,Tolmetin Action Pathway,SMP0000704,drug_action
Cimetidine,Cimetidine Action Pathway,SMP0000232,drug_action
Cimetidine,Cimetidine Metabolism Pathway,SMP0000617,drug_metabolism
Levallorphan,Levallorphan Action Pathway,SMP0000683,drug_action
Aminocaproic acid,Aminocaproic Acid Action Pathway,SMP0000286,drug_action
Trandolapril,Trandolapril Action Pathway,SMP0000157,drug_action
Trandolapril,Trandolapril Metabolism Pathway,SMP0000599,drug_metabolism
Carteolol,Carteolol Action Pathway,SMP0000658,drug_action
Alitretinoin,Retinol Metabolism,SMP0000074,metabolic
Alitretinoin,Vitamin A Deficiency,SMP0000336,disease
Metolazone,Metolazone Action Pathway,SMP0000105,drug_action
Cinchocaine,Dibucaine Action Pathway,SMP0000396,drug_action
Erlotinib,Erlotinib Action Pathway,SMP0000472,drug_action
Cyclophosphamide,Cyclophosphamide Action Pathway,SMP0000447,drug_action
Cyclophosphamide,Cyclophosphamide Metabolism Pathway,SMP0000604,drug_metabolism
Rofecoxib,Rofecoxib Action Pathway,SMP0000087,drug_action
Vincristine,Vincristine Action Pathway,SMP0000437,drug_action
Benazepril,Benazepril Action Pathway,SMP0000145,drug_action
Benazepril,Benazepril Metabolism Pathway,SMP0000591,drug_metabolism
Fluorouracil,Capecitabine Action Pathway,SMP0000469,drug_action
Fluorouracil,Fluorouracil Action Pathway,SMP0000470,drug_action
Fluorouracil,Capecitabine Metabolism Pathway,SMP0000607,drug_metabolism
Fluorouracil,Fluorouracil Metabolism Pathway,SMP0000608,drug_metabolism
Piroxicam,Piroxicam Action Pathway,SMP0000077,drug_action
Hydroxyzine,Hydroxyzine H1-Antihistamine Action,SMP0058936,drug_action
Tigecycline,Tigecycline Action Pathway,SMP0000712,drug_action
Methotrexate,Methotrexate Action Pathway,SMP0000432,drug_action
Carbamazepine,Carbamazepine Metabolism Pathway,SMP0000634,drug_metabolism
Cinnarizine,Cinnarizine H1-Antihistamine Action,SMP0059110,drug_action
Fondaparinux,Fondaparinux Action Pathway,SMP0000273,drug_action
Vinblastine,Vinblastine Action Pathway,SMP0000436,drug_action
Propranolol,Propranolol Action Pathway,SMP0000307,drug_action
Fenoprofen,Fenoprofen Action Pathway,SMP0000696,drug_action
Valdecoxib,Valdecoxib Action Pathway,SMP0000116,drug_action
Levocarnitine,Beta Oxidation of Very Long Chain Fatty Acids,SMP0000052,metabolic
Levocarnitine,Long Chain Acyl-CoA Dehydrogenase Deficiency (LCAD),SMP0000539,disease
Levocarnitine,Carnitine Palmitoyl Transferase Deficiency II,SMP0000541,disease
Levocarnitine,Fatty Acid Metabolism,SMP0000051,metabolic
Levocarnitine,Carnitine Synthesis,SMP0000465,metabolic
Levocarnitine,Mitochondrial Beta-Oxidation of Long Chain Saturated Fatty Acids,SMP0000482,metabolic
Levocarnitine,Carnitine Palmitoyl Transferase Deficiency I,SMP0000538,disease
Levocarnitine,Very-Long-Chain Acyl-CoA Dehydrogenase Deficiency (VLCAD),SMP0000540,disease
Levocarnitine,Trifunctional Protein Deficiency,SMP0000545,disease
Levocarnitine,Oxidation of Branched-Chain Fatty Acids,SMP0000030,metabolic
Levocarnitine,Ethylmalonic Encephalopathy,SMP0000181,disease
Levocarnitine,Glutaric Aciduria Type I,SMP0000185,disease
Levocarnitine,Short-Chain Acyl-CoA Dehydrogenase Deficiency (SCAD Deficiency),SMP0000235,disease
Levocarnitine,Adrenoleukodystrophy, X-Linked,SMP0000516,disease
Levocarnitine,Carnitine-Acylcarnitine Translocase Deficiency,SMP0000517,disease
Levocarnitine,Medium Chain Acyl-CoA Dehydrogenase Deficiency (MCAD),SMP0000542,disease
Enalapril,Enalapril Metabolism Pathway,SMP0000593,drug_metabolism
Enalapril,Enalapril Action Pathway,SMP0000148,drug_action
Nizatidine,Nizatidine Action Pathway,SMP0000233,drug_action
Diclofenac,Diclofenac Action Pathway,SMP0000093,drug_action
Amiloride,Amiloride Action Pathway,SMP0000133,drug_action
Oxytetracycline,Oxytetracycline Action Pathway,SMP0000293,drug_action
Labetalol,Labetalol Action Pathway,SMP0000368,drug_action
Sulindac,Sulindac Action Pathway,SMP0000094,drug_action
Cyclothiazide,Cyclothiazide Action Pathway,SMP0000103,drug_action
Bisoprolol,Bisoprolol Action Pathway,SMP0000300,drug_action
Demeclocycline,Demeclocycline Action Pathway,SMP0000290,drug_action
Imatinib,Imatinib Inhibition of BCR-ABL,SMP0031694,drug_action
